Title,Authors and Journal,Year,Cited by,Paper URL
Socio-cultural influences on genetic variation in nomadic populations of northern Eurasia,TG Schurr,2017.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:YohjEiUPhakC
Ancient DNA Analysis of a Late 17th Century Plantation site in Delaware Yields Considerable Matrilineal Diversity and Relatedness in Early Colonists,"RE Fleskes, F West, GS Cabana, TG Schurr",2017.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:rmuvC79q63oC
Genetic diversity in the Dominican Republic: Implications for the population and demographic history of Hispaniola [Poster],"ER Oakley, R Paulino-Ramírez, B Vega, MG Vilar, A Mencía-Ripley, ...",2017.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:artPoR2Yc-kC
"Ancient lineages: Reconstructing the Genetic History of Svaneti, Northwest Georgia","A Yardumian, TG Schurr, R Shengelia, D Chitanava, S Laliashvili, ...",2017.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:P7Ujq4OLJYoC
"Geographic population structure analysis of worldwide human populations infers their biogeographical origins (vol 5, 3513, 2014)","E Elhaik, T Tatarinova, D Chebotarev, IS Piras, CM Calo, A De Montis, ...",2016.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:DUooU5lO8OsC
On the Trail of the First Caribbean Islanders: Genomic data from indigenous Trinidadians and St. Vincentians,"JPB Torres, MG Vilar, TG Schurr",2016.0,,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7fG-vEIAAAAJ&cstart=100&pagesize=100&citation_for_view=7fG-vEIAAAAJ:hMsQuOkrut0C
The role of older women in contesting norms associated with female genital mutilation/cutting in Senegambia: A factorial focus group analysis,"B Shell-Duncan, A Moreau, K Wander, S Smith",2018.0,88.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&citation_for_view=RQ8uyBsAAAAJ:SrKkpNFED5gC
Gender differences in social networks based on prevailing kinship norms in the Mosuo of China,"SM Mattison, NG MacLaren, R Liu, AZ Reynolds, GD Baca, PM Mattison, ...",2021.0,20.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&citation_for_view=RQ8uyBsAAAAJ:4oJvMfeQlr8C
Matriliny reverses gender disparities in inflammation and hypertension among the Mosuo of China,"AZ Reynolds, K Wander, CY Sum, M Su, M Emery Thompson, PL Hooper, ...",2020.0,19.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&citation_for_view=RQ8uyBsAAAAJ:oynPyU19kbsC
Human milk sIgA antibody in relation to maternal nutrition and infant vulnerability in northern Kenya,"M Fujita, K Wander, N Paredes Ruvalcaba, E Brindle",2019.0,19.0,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=RQ8uyBsAAAAJ&citation_for_view=RQ8uyBsAAAAJ:htyGaKyDgHMC
